"Country","Very good","Good","Fair","Poor"
"TOTAL","19.5","38.6","31.8","8"
"Albania","30.5","41.4","23.7","3.7"
"Azerbaijan","12.5","45.8","36.9","4.2"
"Argentina","20.4","40.6","27.9","9.6"
"Australia","36.4","43.2","15.6","3.6"
"Bangladesh","8.5","38.4","44.9","7.5"
"Armenia","9.4","41.2","38.4","8.6"
"Bulgaria","18.2","39.3","27.4","10.6"
"Belarus","2.3","25","49.4","19"
"Chile","15.8","45.2","31.8","6.2"
"China","35.8","32.2","25.9","5.1"
"Taiwan","21","26.5","41.8","9.2"
"Colombia","25.4","50.4","22.1","1.6"
"Croatia","18.3","32.1","35.5","10.7"
"Czech Rep.","12.6","39.8","37.9","7.6"
"Dominican Rep.","24.5","43.4","29.7","1.2"
"El Salvador","23.5","43.9","25.4","6.4"
"Estonia","5.5","33.6","47.6","11.6"
"Finland","29.9","41.4","21.7","5.3"
"Georgia","15.7","32.9","37.7","10.5"
"Germany","16.7","41.9","33.3","6.5"
"Hungary","12.2","35.2","37.7","11.4"
"India","17.7","39.3","35.1","5.9"
"Japan","14.4","39.5","38","6.6"
"South Korea","14.8","64.5","19.3","1.3"
"Latvia","3.8","32.2","50.5","11.6"
"Lithuania","7.2","37.3","40.6","12.2"
"Mexico","16.9","38.7","33.6","8.1"
"Moldova","3.3","28.4","42.9","19.3"
"New Zealand","36.5","42","17.4","2.6"
"Nigeria","36.1","38.5","21.1","2.4"
"Norway","40.4","38.9","15.3","4.4"
"Pakistan","23.5","39.9","23.1","12.5"
"Peru","10.2","40.2","46.7","2.4"
"Philippines","16.7","35.2","42.7","4.7"
"Poland","12.1","28.6","38","13.2"
"Puerto Rico","30.4","37.2","23.8","6.1"
"Romania","15","37.9","35.8","9.4"
"Russia","2.4","23.5","50.6","18.6"
"Slovakia","11.1","41.4","35.6","9.7"
"Slovenia","13.2","32.5","34.7","16.7"
"South Africa","34.2","33.8","21.7","7.5"
"Spain","18.1","52.2","23.5","5"
"Sweden","39.2","37.2","17.9","5"
"Switzerland","37.5","47.5","12.9","1.8"
"Turkey","18.2","42.6","31.1","7.3"
"Ukraine","2.9","23.7","49.4","19"
"Macedonia","20.7","51.9","19.2","5.9"
"United States","40.2","39","16.7","3.3"
"Uruguay","21.1","55.5","20.7","2"
"Venezuela","35.6","38.4","20.8","4.5"
"Serbia","15.9","35.6","33.5","12"
"Montenegro","24.6","29.2","36.7","6.2"
"Bosnia","19.2","42.8","30.1","7.2"