"Country","1995","2004","2009","2014"
"Afghanistan","150","114","94.1","76.1"
"Albania","32.9","21.4","17.2","14.4"
"Algeria","43.3","35.1","28.3","25.6"
"Andorra","6.1","4","3.4","2.9"
"Angola","223","177","128","91.2"
"Antigua and Barbuda","19.5","12.6","10.6","9"
"Argentina","24.3","17.1","15","12.1"
"Armenia","38.7","24.6","19","14.7"
"Australia","7","5.8","5","4"
"Austria","6.8","5.1","4.5","3.7"
"Azerbaijan","94.1","55.5","41.2","33.2"
"Bahamas","18.7","16.3","14.5","11.5"
"Bahrain","18.1","11","9","7.8"
"Bangladesh","114","70.3","52.6","38.6"
"Barbados","14.7","15.5","14.5","13"
"Belarus","15.7","9.3","6","4.2"
"Belgium","7.6","5.2","4.6","4.1"
"Belize","29.5","21.4","19.3","16.3"
"Benin","158","128","113","103"
"Bhutan","101","61.5","45.4","35.1"
"Bolivia","101","64.5","48.9","39.6"
"Bosnia and Herzegovina","14.2","9","7.2","6.1"
"Botswana","71.6","75.6","56.6","44.6"
"Brazil","49.1","27.8","20.8","16.4"
"Brunei","12.7","11.7","10.7","10.1"
"Bulgaria","19.2","14.2","11.1","8.8"
"Burkina Faso","195","162","124","92.8"
"Burundi","169","130","98.7","77.9"
"Cambodia","120","71.6","48","33.7"
"Cameroon","166","141","115","87.5"
"Canada","6.9","6.1","5.7","5.2"
"Cape Verde","55.5","28.3","27.1","23"
"Central African Republic","175","165","153","134"
"Chad","199","172","154","135"
"Chile","13.1","9.3","8.9","8.5"
"China","47.5","26.3","17","11.5"
"Colombia","29.7","22.3","19.2","16.3"
"Comoros","109","102","90.8","78.3"
"Congo, Dem. Rep.","174","142","120","101"
"Congo, Rep.","105","97","67.3","56.5"
"Costa Rica","14.7","10.8","10.3","9.4"
"Cote d'Ivoire","151","131","113","98.3"
"Croatia","10","7","5.7","4.9"
"Cuba","10.8","7.2","6.2","5.7"
"Cyprus","9","5.2","3.8","2.9"
"Czech Republic","8.5","4.6","3.5","3.1"
"Denmark","6.5","5","4.2","4.2"
"Djibouti","109","91","78.9","68.2"
"Dominica","16.6","15.6","20.3","31.4"
"Dominican Republic","48.9","37.4","34.8","32.2"
"Ecuador","43.9","30","26","22.2"
"Egypt","64.9","37.8","30.4","24.7"
"El Salvador","44.4","26.1","20.2","16.1"
"Equatorial Guinea","171","135","114","97.1"
"Eritrea","117","72.7","57.4","47.6"
"Estonia","15.7","7.8","5","3.3"
"Ethiopia","174","117","85.9","64.4"
"Fiji","24.2","22.6","24.2","23"
"Finland","5.2","3.9","3.2","2.5"
"France","6.5","4.7","4.3","4"
"Gabon","89","78.1","66.3","53"
"Gambia","140","101","83.2","69.9"
"Georgia","43.8","26.6","17.8","12.3"
"Germany","6.5","4.9","4.3","3.9"
"Ghana","113","89","77.6","63.4"
"Greece","8.5","4.9","4","3.9"
"Grenada","17.9","15.1","14.6","15.5"
"Guatemala","64.5","44.4","36.7","30.5"
"Guinea","202","138","113","95.2"
"Guinea-Bissau","199","151","120","94.9"
"Guyana","52.5","42.4","38.3","34.4"
"Haiti","124","92.2","81.1","71"
"Honduras","46.4","30.9","24.5","20.1"
"Hungary","12.5","7.9","6.2","5.5"
"Iceland","5.3","3.3","2.7","2.3"
"India","109","77.7","61.9","47.7"
"Indonesia","66.5","49.5","34.8","28.3"
"Iran","44.6","27.1","20.3","16.3"
"Iraq","49.5","41.8","37.8","33.2"
"Ireland","7.3","5.6","4.3","3.8"
"Israel","8.7","5.8","4.7","3.9"
"Italy","7.5","4.6","4.1","3.6"
"Jamaica","25.9","20.1","18.6","16.3"
"Japan","5.7","3.9","3.3","2.8"
"Jordan","31.6","25","21.7","18.7"
"Kazakhstan","52.3","34.2","23.6","14"
"Kenya","106","85.5","64.6","53.5"
"Kiribati","81.7","65","63.7","57.4"
"Kuwait","14.6","12","11.1","9.1"
"Kyrgyz Republic","60.5","41.2","31.6","23.5"
"Lao","139","100","82.1","68.5"
"Latvia","19.7","11.1","8.3","5.5"
"Lebanon","25.9","15.3","10.8","8.7"
"Lesotho","96.5","115","103","98.3"
"Liberia","240","136","94.6","73"
"Libya","33.3","24.4","17.6","13.9"
"Lithuania","15","9.3","6.7","4.9"
"Luxembourg","6.3","3.6","2.9","2.5"
"Macedonia, FYR","24.7","14.1","10.9","11.5"
"Madagascar","137","86.5","65.9","50.5"
"Malawi","196","124","95.7","63.3"
"Malaysia","13.3","8.3","7.9","8.1"
"Maldives","70","28.6","14.5","9.5"
"Mali","240","182","142","118"
"Malta","9.4","7","6.8","6.9"
"Marshall Islands","42.3","40","39.3","37.2"
"Mauritania","113","111","100","86.7"
"Mauritius","22.2","15.5","15.4","14.7"
"Mexico","35.5","21.6","17.8","15.4"
"Micronesia, Fed. Sts.","54.6","47.9","41.3","35.4"
"Moldova","38.1","20.9","17.4","16.4"
"Monaco","6.2","4.6","4.1","3.6"
"Mongolia","86.7","45.2","28.6","19.8"
"Montenegro","15.2","11.4","7.4","4.6"
"Morocco","62.9","42.1","34.8","29"
"Mozambique","228","141","106","79.9"
"Myanmar","102","80.3","67.1","54.8"
"Namibia","67.7","74.2","58.6","48.4"
"Nauru","48.6","38.8","39.8","36.5"
"Nepal","108","65","49.6","38"
"Netherlands","6.9","5.6","4.6","4"
"New Zealand","8.7","6.7","6.3","5.7"
"Nicaragua","53.2","32.9","25.7","21"
"Niger","278","184","132","99.2"
"Nigeria","208","164","135","112"
"North Korea","72.8","35","31","22.4"
"Norway","5.7","4.2","3.4","2.8"
"Oman","24.4","13.3","11.8","11"
"Pakistan","126","104","93.9","83.3"
"Palau","31.3","23.6","20","17"
"Palestine","35.9","26.8","23.6","20.6"
"Panama","28.1","23.4","20.3","17.4"
"Papua New Guinea","81.8","74.1","67","57.9"
"Paraguay","39.2","29.5","25","21.2"
"Peru","58.1","28.7","21.4","16.6"
"Philippines","45.6","36.6","32.6","28.8"
"Poland","14.6","7.8","6.3","5"
"Portugal","9.7","5.1","4","3.6"
"Qatar","15.3","10.7","9.2","8.6"
"Romania","27.3","19.3","12.1","9.5"
"Russia","22","15","10.6","8.3"
"Rwanda","253","130","71.2","43.4"
"Samoa","26","19.8","24.4","18.1"
"San Marino","7.8","4.4","3.6","3"
"Sao Tome and Principe","102","65.5","48.2","36.8"
"Saudi Arabia","29.8","18.7","16.2","13.8"
"Senegal","142","103","71.3","52.3"
"Serbia","19.8","9.6","7.8","6.6"
"Seychelles","14.4","14.1","14.3","14.6"
"Sierra Leone","255","210","170","125"
"Singapore","5","3","2.8","2.7"
"Slovak Republic","12","8.5","7.2","6.2"
"Slovenia","7.5","4.4","3.4","2.5"
"Solomon Islands","33.3","28.9","28.4","26.8"
"Somalia","174","174","164","141"
"South Africa","57.2","74.4","61.5","44.5"
"South Korea","10.6","5.9","4.3","3.6"
"South Sudan","226","149","117","96.9"
"Spain","6.9","4.9","4","3.4"
"Sri Lanka","20.3","29.3","11.7","9.9"
"St. Kitts and Nevis","28.4","17.1","12.7","10"
"St. Lucia","19.9","17.1","15.8","14"
"St. Vincent and the Grenadines","22.3","22.2","21.3","17.9"
"Sudan","120","91.7","78.8","69"
"Suriname","39.7","29.2","24.8","21.3"
"Swaziland","83.7","126","105","74.1"
"Sweden","4.8","3.7","3.1","2.9"
"Switzerland","6.4","5.2","4.6","4.2"
"Syria","29.6","19.8","16.4","20.1"
"Tajikistan","119","69","54.2","46"
"Tanzania","164","99.8","75.7","60.9"
"Thailand","29.2","19.1","15.4","13"
"Timor-Leste","139","87.1","65.5","53.5"
"Togo","134","107","92.9","80.4"
"Tonga","18.8","16.6","17.2","17.1"
"Trinidad and Tobago","28","26","23","19.8"
"Tunisia","44.7","24.5","18.3","14.6"
"Turkey","54.8","29.5","20.5","14.5"
"Turkmenistan","87.5","74.4","64.1","54.5"
"Tuvalu","51.1","37","31.8","27.1"
"Uganda","171","131","86.4","60.1"
"Ukraine","20.3","15.1","12.3","9.8"
"United Arab Emirates","13.1","10.1","8.8","7.9"
"United Kingdom","7.2","6.2","5.4","4.5"
"United States","9.5","8.1","7.5","6.8"
"Uruguay","20.8","15.2","11.1","9.5"
"Uzbekistan","70.5","52","38.7","27.6"
"Vanuatu","30.4","28.3","29","28.7"
"Venezuela","26.2","19.2","17.1","16.8"
"Vietnam","39","26","23.6","22.3"
"Yemen","112","76.9","58.3","55.3"
"Zambia","177","120","87.9","69.6"
"Zimbabwe","90.1","99","94.9","64.3"