"Country","1995","2004","2009","2014","2015"
"Albania","","","4.91","5.76","6.09"
"Algeria","","","","2.15",""
"Angola","","","","",""
"Argentina","","1.72","0.925","0.856",""
"Armenia","","","","7.15","7.11"
"Australia","1.91","0.918","0.876","1.21","1.24"
"Austria","0.88","1.19","1.07","1.32","1.43"
"Azerbaijan","","","2.54","2.18","2.21"
"Bangladesh","","","","",""
"Belarus","","","","",""
"Belgium","2.98","2.17","2.1","2.49","2.46"
"Belize","","","","",""
"Bhutan","","","","","0.767"
"Bolivia","","","0.521","0.357","0.473"
"Bosnia and Herzegovina","","","6.49","7.9",""
"Brunei","","","","2.15",""
"Bulgaria","","3.78","1.97","4.07","3.24"
"Cambodia","","","","",""
"Cameroon","","","","",""
"Canada","1.29","0.615","0.727","0.743","0.699"
"Cape Verde","","","","",""
"Chile","","","","0.69","0.674"
"Colombia","","2.57","1.45","1.07","0.966"
"Costa Rica","","","","1.24","1.19"
"Cote d'Ivoire","","","","",""
"Croatia","","4.04","2.97","5.73","5.53"
"Cuba","","","0.252","",""
"Cyprus","","0.733","0.592","3.97","3.44"
"Czech Republic","0.955","2.87","1.78","1.92","1.65"
"Denmark","1.74","1.25","0.822","1.38","1.36"
"Dominican Republic","","","","","0.923"
"Ecuador","","0.65","0.404","0.222","0.328"
"Egypt","","","2.59","","3.63"
"Estonia","3.11","3.42","3.37","2.27","1.71"
"Ethiopia","","","","",""
"Fiji","","","","",""
"Finland","3.83","1.93","1.27","1.54","1.77"
"France","2.91","2.21","2.09","2.86","2.9"
"Gambia","","","","",""
"Georgia","","","","",""
"Germany","2.56","3.48","2.43","1.52","1.41"
"Ghana","","","","","1.49"
"Greece","2.54","3.34","2.47","9.48","8.97"
"Guatemala","","0.0865","","0.228","0.224"
"Honduras","","","0.174","0.349","0.405"
"Hungary","2.86","1.61","2.74","2.34","2.06"
"Iceland","0.836","0.772","0.939","0.815","0.58"
"Indonesia","","1.37","1.75","1.04","1.26"
"Iran","","","2.26","2.02","2.11"
"Ireland","3.59","1.13","3.31","4.04","3.32"
"Israel","0.596","1.75","1.06","0.563","0.525"
"Italy","3.4","2.08","1.95","3.96","3.63"
"Japan","0.593","1.21","1.21","0.952","0.844"
"Kazakhstan","","","1.26","",""
"Kyrgyz Republic","","","1.31","1.84","1.67"
"Lao","","","","",""
"Latvia","","3.34","4.75","3.33","3.12"
"Liberia","","","","",""
"Lithuania","","3.8","3.14","3.39","2.8"
"Luxembourg","0.566","1.01","1.15","1.3","1.61"
"Macedonia, FYR","","","12.8","11.6","10.7"
"Malawi","","","","",""
"Malaysia","","","0.22","0.171","0.182"
"Maldives","","","","",""
"Mali","","","","","1.43"
"Malta","","2.04","1.74","1.63","1.42"
"Mauritius","","2.14","1.55","1.56","1.41"
"Mexico","0.169","0.0597","0.135","0.117","0.0958"
"Moldova","","","0.93","0.392","0.396"
"Mongolia","","","1.77","1.49","1.47"
"Montenegro","","","","6.48","6.39"
"Morocco","","","","",""
"Myanmar","","","","","0.124"
"Namibia","","","","5.61",""
"Nepal","","","","",""
"Netherlands","2.53","1.31","0.781","2.27","2.14"
"New Zealand","1.23","0.422","0.682","0.874","0.884"
"Nicaragua","","","","",""
"Norway","1.39","0.723","0.497","0.656","0.812"
"Pakistan","","","0.0528","0.441","0.96"
"Palestine","1.81","3.7","3.6","4.06","3.25"
"Panama","","","0.877","0.157","0.329"
"Paraguay","","0.908","1.24","1.01","0.852"
"Peru","","0.0421","0.0323","",""
"Philippines","","0.0767","0.0407","0.0182",""
"Poland","3.74","6.4","1.89","2.56","1.97"
"Portugal","2.06","2.11","3.08","5.12","4.37"
"Qatar","","","0.248","0.0788","0.0676"
"Romania","","2.59","1.7","1.91","1.98"
"Russia","2.18","2.27","1.97","1.41","1.52"
"Rwanda","","","","",""
"Samoa","","","","",""
"Saudi Arabia","","","0.889","",""
"Senegal","","","","","0.475"
"Serbia","","","4.34","5.65","4.96"
"Sierra Leone","","","","0.722",""
"Slovak Republic","4.17","7.53","4.33","5.53","4.49"
"Slovenia","","2.1","1.52","3.39","3.01"
"South Africa","","2.36","6.58","7.34","7.52"
"South Korea","0.168","0.203","0.164","0.14","0.193"
"Spain","6.69","2.79","4.16","8.18","7.2"
"Sri Lanka","","","1.5","1.16",""
"Swaziland","","","","",""
"Sweden","1.93","1.33","1.43","1.5","1.42"
"Switzerland","","1.25","1.08","1.53","1.46"
"Tajikistan","","","0.478","",""
"Tanzania","","","","0.726",""
"Thailand","","","0.123","0.0536","0.0598"
"Timor-Leste","","","","",""
"Tunisia","","","1.31","",""
"Turkey","1.72","2","1.77","1.24","1.37"
"Uganda","","","","",""
"Ukraine","","","1.39","1.19","1.53"
"United Arab Emirates","","","","",""
"United Kingdom","2.59","0.879","1.69","1.6","1.24"
"United States","0.571","0.707","1.67","1.13","0.829"
"Uruguay","","","0.237","0.106","0.162"
"Vanuatu","","","","",""
"Venezuela","","","0.705","",""
"Vietnam","","","","0.299",""
"Yemen","","","","0.547",""
"Zimbabwe","","","","2.42",""