"Country","Very important","Rather important","Not very important","Not at all important","No answer","DonÂ´t know"
"Andorra","46","46.5","5.9","0.5","1","0"
"Argentina","70.4","25.7","2.2","1.2","0.3","0.2"
"Australia","34.5","45.4","8.4","6.7","4.9","0"
"Brazil","65.3","33.4","0.9","0.2","0.2","0"
"Bulgaria","49.7","29.5","10","7.4","0.1","3.3"
"Canada","48.2","37.4","8.9","4.6","0.2","0.7"
"Chile","62.3","28.4","5.7","2.4","0.9","0.2"
"China","43.7","41.8","7.5","1.4","0.7","5"
"Taiwan","62.7","27.3","6.2","3.8","0","0"
"Cyprus","55.1","32.5","8.5","3.1","0.7","0"
"Ethiopia","89.3","8.7","0.6","1.1","0.4","0"
"Finland","40.1","44.7","8.6","2.8","0.2","0.3"
"France","62.2","30.7","2.6","0.9","0","0"
"Georgia","77.9","13.3","5.4","3","0.1","0.3"
"Germany","49.6","30.2","10.2","5.1","0.2","0.3"
"Ghana","92.7","5","1.3","0","0.7","0.1"
"Guatemala","95.1","4.2","0.5","0.1","0","0.1"
"Hong Kong","26.1","56.2","14.3","1.8","0","1.6"
"Hungary","55.1","31.2","8.6","4.6","0","0.2"
"India","67.9","25","3.9","1.5","0","1.7"
"Indonesia","85.3","10.7","2.4","0.3","0.6","0.4"
"Iran","76.5","16.8","4.7","1.5","0.4","0"
"Iraq","82.2","11.5","2.8","1.8","0.6","1.1"
"Italy","60.9","33.9","2.7","0.9","1.5","0.2"
"Japan","47.4","37.5","9.9","1.5","3.7","0"
"Jordan","66.7","20.1","7.8","5.1","0.4","0"
"South Korea","61.9","29.1","7.2","1.7","0","0"
"Malaysia","70.4","23.5","4.5","1.4","0.2","0"
"Mali","85.3","9.1","1.5","0.6","3.2","0.2"
"Mexico","84.9","12.6","1.3","0.6","0.4","0.1"
"Moldova","43.4","46.7","8.3","1.4","0","0.2"
"Morocco","85.6","11.2","2","0.9","0.2","0"
"Netherlands","30.9","45.7","11","6.9","0.4","0.4"
"New Zealand","34.6","47.7","7.2","4.3","5.8","0.4"
"Norway","52.8","39.7","4.5","2.8","0","0.2"
"Peru","71.2","23.5","3.9","0.8","0.6","0"
"Poland","61","25.9","5.6","5.6","0","1.8"
"Romania","53.5","34.9","6.2","2.8","1.9","0.7"
"Russia","48.4","31.2","11.8","6.1","0.3","2"
"Rwanda","63.7","35","0.8","0.1","0.4","0"
"Viet Nam","40.8","47.6","10.1","0.7","0","0.1"
"Slovenia","47","45.1","5","2.4","0.2","0.3"
"South Africa","77.4","14.5","3.5","2.9","0","1.7"
"Spain","51.9","35.8","6.2","5.5","0.4","0.1"
"Sweden","53.2","38.7","3.9","3.8","0.3","0"
"Switzerland","52.3","39.6","4.7","2.1","0.4","0.2"
"Thailand","57","34.4","7","0.9","0.7","0"
"Trinidad and Tobago","83.3","10.1","4.6","1.7","0.1","0.1"
"Turkey","56","30.5","8.4","4.8","0","0.1"
"Ukraine","39.1","38.7","13.2","7.8","0.1","1.1"
"Egypt","63.1","21.8","11.5","3.6","0","0"
"United Kingdom","35.5","35.3","10.5","9.7","0.2","0.1"
"United States","32.2","47","12.9","6.8","1.1","0"
"Burkina Faso","89.2","8","0.9","0.4","1","0.4"
"Uruguay","69.4","22.6","4","1.9","2.1","0"
"Serbia and Montenegro","59.9","29.3","7.4","1.8","0.4","1.1"
"Zambia","75.7","16.3","4.3","1.1","1.8","0.5"